Skills,Occupation Code,Weight
Biology,13-1011.00,1
Biology,13-1071.00,1
Biology,13-1131.00,1
Biology,13-2061.00,1
Biology,13-2071.00,1
Building and construction,13-1011.00,1
Building and construction,13-1161.00,1
Building and construction,13-2071.00,1
Chemistry,13-1071.00,1
Chemistry,13-1131.00,1
Chemistry,13-2072.00,1
Fine arts,13-1022.00,1
Fine arts,13-1031.01,1
Fine arts,13-1041.03,1
Fine arts,13-1041.07,1
Fine arts,13-1071.00,1
Fine arts,13-1199.01,1
Food production,13-2031.00,1
Food production,13-2061.00,1
Food production,13-2071.01,1
Food production,13-2072.00,1
Food production,13-2081.00,1
History and archeology,13-2011.01,1
Mechanical,13-1131.00,1
Mechanical,13-2061.00,1
Medicine and dentistry,13-1011.00,1
Medicine and dentistry,13-1022.00,1
Medicine and dentistry,13-1032.00,1
Medicine and dentistry,13-2011.01,1
Medicine and dentistry,13-2011.02,1
Medicine and dentistry,13-2072.00,1
Philosophy and theology,13-2011.01,1
Physics,13-1011.00,1
Physics,13-1071.00,1
Physics,13-1131.00,1
Physics,13-2011.01,1
Physics,13-2011.02,1
Physics,13-2031.00,1
Physics,13-2071.00,1
Physics,13-2072.00,1
Therapy and counseling,13-2051.00,1
Operating vehicles mechanized devices or equipment,13-2099.01,1
Repairing and maintaining electronic equipment,13-1041.03,1
Repairing and maintaining electronic equipment,13-1041.04,1
Repairing and maintaining electronic equipment,13-2051.00,1
Repairing and maintaining mechanical equipment,13-1041.03,1
Repairing and maintaining mechanical equipment,13-2021.02,1
Repairing and maintaining mechanical equipment,13-2051.00,1
Repairing and maintaining mechanical equipment,13-2099.01,1
Cramped work space awkward positions,13-1199.03,1
Cramped work space awkward positions,13-2099.01,1
Deal with physically aggressive people,13-2011.01,1
Deal with physically aggressive people,13-2011.02,1
Exposed to contaminants,13-2041.00,1
Exposed to disease or infections,13-1074.00,1
Exposed to disease or infections,13-1075.00,1
Exposed to disease or infections,13-1199.03,1
Exposed to disease or infections,13-1199.04,1
Exposed to disease or infections,13-1199.05,1
